epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,2.00199,0.251307,1.928355,0.301471,0.001,168.7679
2,1.693176,0.355417,1.719108,0.387255,0.001,115.7774
3,1.520988,0.439469,1.560421,0.47549,0.001,115.3408
4,1.40654,0.47874,1.534175,0.485294,0.001,116.0096
5,1.315955,0.517163,1.290059,0.54902,0.001,114.6055
6,1.234641,0.550501,1.300569,0.579657,0.001,115.7341
7,1.1593,0.574799,1.27062,0.5625,0.001,102.6378
8,1.119328,0.593728,1.271275,0.591912,0.001,101.8847
9,1.061173,0.614211,1.187262,0.590686,0.001,102.0155
10,1.038077,0.63088,1.162533,0.633578,0.001,101.9879
11,0.999198,0.649103,1.153687,0.612745,0.001,101.2438
12,0.958501,0.658144,1.072478,0.628676,0.001,102.1069
13,0.936593,0.67227,1.05951,0.665441,0.001,100.3364
14,0.900293,0.683147,1.088891,0.713235,0.001,101.5576
15,0.873987,0.688939,1.089608,0.629902,0.001,101.2709
16,0.842942,0.704054,0.992248,0.702206,0.001,101.3283
17,0.827022,0.708998,1.060395,0.66299,0.001,100.8299
18,0.808517,0.714084,1.029728,0.666667,0.001,104.0901
19,0.7693,0.734002,1.04032,0.715686,0.0005,101.5114
20,0.713908,0.753638,1.018355,0.697304,0.0005,101.1272
21,0.692528,0.766351,0.965435,0.702206,0.0005,102.9442
22,0.704169,0.757028,0.985468,0.726716,0.0005,108.358
23,0.684917,0.764656,1.030916,0.696078,0.0005,103.8397
24,0.661669,0.769883,0.954642,0.737745,0.0005,102.8095
25,0.651397,0.775251,1.0081,0.727941,0.0005,102.4702
